name_repo,star_q1,star_gq2,star_gq3,star_gq4,fork_q1,fork_gq2,fork_gq3,fork_gq4,clase
https://github.com/goburrow/modbus,170.25,2.0999,1.4874,1.339,67.25,1.9703,1.5,1.3333,0
https://github.com/rcongiu/Hive-JSON-Serde,193.75,1.871,1.4572,1.3289,92.0,1.9783,1.4945,1.3235,1
https://github.com/seatgeek/thefuzz,189.0,1.8836,1.5421,1.3115,14.25,1.9298,1.5909,1.3029,0
https://github.com/tailwindlabs/tailwindcss-line-clamp,315.0,1.4349,1.302,1.2336,4.75,1.7895,1.4412,1.3061,0
https://github.com/nicklockwood/Expression,323.5,1.4992,1.2546,1.1717,10.5,1.9048,1.525,1.3115,0
https://github.com/anru/rsted,238.5,1.652,1.4004,1.2705,65.5,2.0153,1.4886,1.3588,0
https://github.com/dreymonde/Delegated,457.5,1.1749,1.1391,1.145,13.0,1.5385,1.325,1.2453,0
https://github.com/OWASP/java-html-sanitizer,182.75,1.9672,1.5139,1.299,45.5,2.0,1.478,1.3234,0
https://github.com/Kotlin/kmm-basic-sample,163.5,2.3853,1.441,1.2705,33.0,2.0,1.4848,1.3571,0
https://github.com/RigsOfRods/rigs-of-rods,164.75,2.0607,1.5096,1.3678,38.5,1.974,1.4803,1.3244,1
https://github.com/cmake-js/cmake-js,214.25,1.762,1.443,1.2905,29.25,1.9658,1.5087,1.3256,0
https://github.com/UI-Lovelace-Minimalist/UI,136.5,2.3516,1.743,1.2618,40.75,2.4663,1.5224,1.3399,0
https://github.com/justinethier/cyclone,188.25,1.6946,1.6575,1.3201,10.0,1.9,1.5263,1.3103,0
https://github.com/dankogai/js-combinatorics,202.25,1.8517,1.4626,1.2816,24.75,1.9596,1.5103,1.3379,0
https://github.com/shashwatak/satellite-js,194.0,1.9433,1.4403,1.3186,33.75,1.9111,1.4922,1.3299,0
https://github.com/zachwill/moment,235.5,1.6688,1.3982,1.2775,11.5,1.9565,1.4556,1.313,0
https://github.com/crytic/evm-opcodes,189.5,1.7836,1.5133,1.4643,28.0,1.8929,1.4717,1.3462,0
https://github.com/TriForceX/MiyooCFW,181.0,1.8785,1.4676,1.4088,21.0,2.0,1.4881,1.312,0
https://github.com/nodyn/nodyn,331.0,1.4199,1.2681,1.1762,25.5,1.8039,1.4022,1.3023,0
https://github.com/OWASP/www-community,183.5,1.951,1.5035,1.3042,128.5,1.9377,1.4598,1.3205,1
https://github.com/RanvierMUD/ranviermud,209.5,1.8425,1.4294,1.2687,53.25,2.0376,1.5092,1.3252,0
https://github.com/JedWatson/react-input-autosize,173.0,2.0462,1.5198,1.3123,43.25,1.9769,1.5058,1.3282,0
https://github.com/tj/node-blocked,358.0,1.3073,1.2543,1.1959,11.25,1.8222,1.4512,1.3109,0
https://github.com/chris1111/Wireless-USB-Adapter,213.5,1.8852,1.4255,1.2288,19.0,1.8947,1.5,1.3148,0
https://github.com/Lickability/swift-best-practices,534.5,1.0992,1.1034,1.086,20.0,1.8,1.3194,1.2,0
https://github.com/paritytech/parity-bitcoin,284.5,1.5114,1.336,1.2237,59.5,1.7815,1.4104,1.2843,0
https://github.com/MaximumEntropy/Seq2Seq-PyTorch,229.5,1.7691,1.3732,1.2556,42.0,1.9524,1.4756,1.2893,0
https://github.com/YouHaveTrouble/minecraft-optimization,140.5,2.2135,1.7122,1.3258,12.25,1.9184,1.5213,1.3427,0
https://github.com/antonioribeiro/google2fa-laravel,215.0,1.8279,1.4211,1.2838,39.0,1.9231,1.48,1.3333,0
https://github.com/Pomax/bezierinfo,161.75,2.3771,1.4551,1.2493,24.0,1.9375,1.4462,1.3086,0
https://github.com/ottomated/CrewLink-server,440.5,1.3666,1.0955,1.0599,202.0,1.8663,1.1207,1.0651,1
https://github.com/chiflix/splayerx,182.0,2.0604,1.456,1.2784,37.75,1.894,1.486,1.2988,0
https://github.com/venmo/business-rules,168.75,2.0415,1.5711,1.3155,47.75,2.0419,1.5103,1.3243,0
https://github.com/kongzue/Dialog,218.0,1.9817,1.3426,1.2121,30.75,1.8862,1.4698,1.2903,0
https://github.com/juruen/rmapi,186.75,1.9063,1.526,1.2904,16.0,1.9375,1.5484,1.3542,0
https://github.com/encrypted-def/basic-algo-lecture,165.0,2.0424,1.6217,1.3815,50.75,1.9606,1.5653,1.3162,0
https://github.com/lcatro/Source-and-Fuzzing,192.75,2.1349,1.3177,1.3333,40.0,2.125,1.3647,1.3707,0
https://github.com/AlvaroFranco/AFDropdownNotification,411.5,1.2552,1.1912,1.1377,25.5,1.6471,1.4167,1.2773,0
https://github.com/severin-lemaignan/vim-minimap,237.5,1.72,1.3788,1.2499,9.5,1.8947,1.4722,1.3208,0
https://github.com/SleepyTrousers/EnderIO,176.25,2.0057,1.4816,1.3403,81.75,1.9266,1.4683,1.3276,1
https://github.com/natefaubion/sparkler,273.5,1.5576,1.3157,1.2489,5.5,1.8182,1.45,1.3103,0
https://github.com/pascalbros/PAPermissions,524.0,1.124,1.1019,1.0755,29.75,1.4622,1.2931,1.2267,0
https://github.com/Karumi/ExpandableSelector,356.0,1.4382,1.1875,1.1497,45.25,1.6022,1.3207,1.2428,0
https://github.com/elgohr/Publish-Docker-Github-Action,215.5,2.0209,1.3266,1.2116,52.0,1.7692,1.5217,1.2786,0
https://github.com/lazerwalker/Theseus,501.5,1.1406,1.118,1.0962,31.25,1.52,1.3211,1.243,0
https://github.com/CSNW/d3.compose,631.25,1.0448,1.0299,1.0291,13.0,1.3077,1.2059,1.1707,0
https://github.com/ghostop14/sparrow-wifi,165.5,2.4471,1.4333,1.2558,28.5,2.0702,1.5,1.3559,0
https://github.com/githubhaohao/LearnFFmpeg,268.0,1.5354,1.4891,1.3089,46.75,1.8289,1.5702,1.3333,2
https://github.com/xiaolonw/TimeCycle,394.75,1.3338,1.1819,1.1314,40.5,1.679,1.3015,1.2203,0
https://github.com/pliang279/awesome-phd-advice,488.0,1.3176,1.0583,1.0566,22.0,1.4545,1.1875,1.1316,0
